model,usuari_id,entropy,entropy_norm,concentracio,gini,tema_dominant,esport,politica,humor,tecnologia,ciencia,cultura,salut,economia,viatges,moda
Engagement,0,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,1,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,2,0.0,0.0,1.0,0.9,esport,1.0,0,0,0,0,0,0,0,0,0
Engagement,3,0.0,0.0,1.0,0.9,salut,0,0,0,0,0,0,1.0,0,0,0
Engagement,4,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,5,0.0,0.0,1.0,0.9,esport,1.0,0,0,0,0,0,0,0,0,0
Engagement,6,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,7,0.4022,0.1211,0.92,0.884,economia,0.08,0,0,0,0,0,0,0.92,0,0
Engagement,8,0.2823,0.085,0.96,0.888,esport,0.96,0,0,0,0,0.02,0,0,0.02,0
Engagement,9,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,10,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,11,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,12,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,13,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,14,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,15,0.1414,0.0426,0.98,0.896,politica,0,0.98,0,0,0,0,0,0,0.02,0
Engagement,16,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,17,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,18,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,19,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,20,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,21,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,22,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,23,0.0,0.0,1.0,0.9,ciencia,0,0,0,0,1.0,0,0,0,0,0
Engagement,24,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,25,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,26,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,27,0.0,0.0,1.0,0.9,esport,1.0,0,0,0,0,0,0,0,0,0
Engagement,28,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,29,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,30,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,31,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,32,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,33,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,34,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,35,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,36,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,37,0.1414,0.0426,0.98,0.896,esport,0.98,0,0,0.02,0,0,0,0,0,0
Engagement,38,0.4022,0.1211,0.92,0.884,esport,0.92,0,0,0,0,0,0,0,0.08,0
Engagement,39,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,40,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,41,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,42,0.0,0.0,1.0,0.9,ciencia,0,0,0,0,1.0,0,0,0,0,0
Engagement,43,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,44,0.0,0.0,1.0,0.9,economia,0,0,0,0,0,0,0,1.0,0,0
Engagement,45,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,46,0.0,0.0,1.0,0.9,politica,0,1.0,0,0,0,0,0,0,0,0
Engagement,47,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Engagement,48,0.0,0.0,1.0,0.9,ciencia,0,0,0,0,1.0,0,0,0,0,0
Engagement,49,0.0,0.0,1.0,0.9,viatges,0,0,0,0,0,0,0,0,1.0,0
Ètic,0,3.046,0.917,0.16,0.28,viatges,0.1,0.14,0.16,0,0.12,0.02,0.12,0.1,0.16,0.08
Ètic,1,3.1101,0.9362,0.16,0.244,viatges,0.14,0.14,0.08,0,0.12,0.08,0.06,0.12,0.16,0.1
Ètic,2,3.097,0.9323,0.16,0.252,viatges,0.14,0.12,0.12,0,0.06,0.12,0.14,0.08,0.16,0.06
Ètic,3,3.1428,0.9461,0.14,0.196,viatges,0.08,0.1,0.08,0,0.12,0.1,0.14,0.12,0.14,0.12
Ètic,4,3.0603,0.9212,0.16,0.288,viatges,0.14,0.08,0.16,0,0.12,0.14,0.06,0.04,0.16,0.1
Ètic,5,2.9593,0.8908,0.2,0.296,viatges,0.12,0.1,0.12,0,0.14,0.1,0,0.12,0.2,0.1
Ètic,6,3.0441,0.9164,0.18,0.276,politica,0.1,0.18,0.1,0,0.02,0.12,0.12,0.1,0.16,0.1
Ètic,7,3.0922,0.9308,0.16,0.26,viatges,0.08,0.14,0.12,0,0.06,0.14,0.14,0.06,0.16,0.1
Ètic,8,3.1428,0.9461,0.14,0.196,humor,0.14,0.08,0.14,0,0.08,0.1,0.1,0.12,0.12,0.12
Ètic,9,3.0477,0.9175,0.18,0.304,viatges,0.14,0.08,0.1,0,0.04,0.14,0.06,0.16,0.18,0.1
Ètic,10,3.1053,0.9348,0.16,0.248,viatges,0.14,0.1,0.08,0,0.1,0.14,0.06,0.14,0.16,0.08
Ètic,11,3.0697,0.9241,0.18,0.288,viatges,0.08,0.14,0.06,0,0.08,0.16,0.12,0.06,0.18,0.12
Ètic,12,2.9159,0.8778,0.2,0.352,moda,0.14,0.06,0.14,0,0.08,0.12,0,0.1,0.16,0.2
Ètic,13,3.064,0.9224,0.14,0.24,viatges,0.12,0.14,0.08,0,0.02,0.14,0.12,0.12,0.14,0.12
Ètic,14,3.0052,0.9047,0.16,0.304,moda,0.12,0.16,0.12,0,0.02,0.14,0.04,0.1,0.14,0.16
Ètic,15,3.0889,0.9298,0.16,0.256,viatges,0.1,0.08,0.1,0,0.12,0.16,0.04,0.12,0.16,0.12
Ètic,16,3.0889,0.9298,0.14,0.236,moda,0.12,0.14,0.12,0,0.12,0.12,0.06,0.04,0.14,0.14
Ètic,17,3.098,0.9326,0.16,0.252,cultura,0.14,0.14,0.1,0,0.1,0.16,0.06,0.1,0.14,0.06
Ètic,18,3.0395,0.915,0.16,0.28,cultura,0.14,0.14,0.08,0,0.14,0.16,0.08,0.02,0.14,0.1
Ètic,19,3.1118,0.9367,0.16,0.24,viatges,0.1,0.12,0.12,0,0.1,0.08,0.16,0.06,0.16,0.1
Ètic,20,3.138,0.9446,0.14,0.204,politica,0.08,0.14,0.12,0,0.1,0.14,0.08,0.1,0.14,0.1
Ètic,21,3.0979,0.9325,0.16,0.24,viatges,0.14,0.08,0.12,0,0.12,0.04,0.12,0.1,0.16,0.12
Ètic,22,3.1339,0.9434,0.16,0.212,viatges,0.08,0.08,0.14,0,0.1,0.12,0.1,0.12,0.16,0.1
Ètic,23,3.0934,0.9312,0.18,0.264,viatges,0.16,0.08,0.12,0,0.08,0.1,0.06,0.12,0.18,0.1
Ètic,24,3.1477,0.9475,0.14,0.18,viatges,0.12,0.08,0.12,0,0.08,0.12,0.12,0.12,0.14,0.1
Ètic,25,2.9763,0.896,0.14,0.268,esport,0.14,0.12,0.14,0,0.1,0.14,0,0.14,0.14,0.08
Ètic,26,3.0608,0.9214,0.16,0.256,viatges,0.14,0.12,0.14,0,0.02,0.12,0.1,0.1,0.16,0.1
