experiment,parametre,valor,entropy_norm_mitj,entropy_norm_std,concentracio_mitj,concentracio_std
topk,TOP_K,1,0.8481666666666665,0.02121812642268137,0.18066666666666661,0.003590109871423007
topk,TOP_K,2,0.8816166666666665,0.019628959614700806,0.17266666666666663,0.012092238098144702
topk,TOP_K,3,0.9028800000000001,0.017002321410129063,0.16799999999999998,0.011075498483890764
topk,TOP_K,5,0.9273666666666666,0.012904994726418487,0.16133333333333336,0.015434449203720299
topk,TOP_K,7,0.9353166666666666,0.01382907765864697,0.16,0.018618986725025252
topk,TOP_K,10,0.93652,0.021588799565206634,0.17600000000000005,0.031999999999999994
topk,TOP_K,15,0.9411,0.019941180172363585,0.1833333333333333,0.02534210374499762
topk,TOP_K,20,0.9468933333333336,0.017780306209086758,0.17933333333333332,0.019652537297311565
exploracio,EXPLORACIO,0.0,0.9229933333333334,0.018646750089194863,0.16666666666666666,0.021499353995462798
exploracio,EXPLORACIO,0.05,0.91933,0.022770436242344302,0.16466666666666668,0.02171532996653644
exploracio,EXPLORACIO,0.1,0.9244000000000001,0.01726234823732469,0.16266666666666665,0.017688665548562126
exploracio,EXPLORACIO,0.15,0.9274133333333334,0.018691597636965714,0.16333333333333336,0.024810392087904524
exploracio,EXPLORACIO,0.2,0.9245500000000001,0.014695345067968523,0.1673333333333333,0.018245242911205342
exploracio,EXPLORACIO,0.3,0.9216566666666667,0.015619553628563003,0.164,0.02497999199359359
exploracio,EXPLORACIO,0.5,0.9199866666666666,0.017843724075676824,0.16933333333333334,0.021746008573733447
exploracio,EXPLORACIO,1.0,0.92269,0.019191254084434756,0.16533333333333333,0.023055488621054113
